Year,Outlays
1958,82405
1959,92098
1960,92191
1961,97723
1962,106821
1963,111316
1964,118528
1965,118228
1966,134532
1967,157464
1968,178134
1969,183640
1970,195649
1971,210172
1972,230681
1973,245707
1974,269359
1975,332332
1976,371792
1977,409218
1978,458746
1979,504028
1980,590941
1981,678241
1982,745743
1983,808364
1984,851805
1985,946344
1986,990382
1987,1004017
1988,1064416
1989,1143743
1990,1252993
1991,1324226
1992,1381529
1993,1409386
1994,1461752
1995,1515742
1996,1560484
1997,1601116
1998,1652458
1999,1701842
2000,1788950
2001,1862846
2002,2010894
2003,2159899
2004,2292841
2005,2471957
2006,2655050
2007,2728686
2008,2982544
2009,3517677
2010,3457079
2011,3603065
2012,3526563
2013,3454881
2014,3506284
2015,3691850
2016,3852615
2017,3981634
2018,4108981
2019,4446952
2020,6553620
2021,6822461
2022,6273259
