year,Consumption
1940,16
1941,21.6
1942,41.5
1943,63.7
1944,77.7
1945,82.3
1946,57.7
1947,52.9
1948,55.7
1949,61.6
1950,63.9
1951,75.8
1952,86.7
1953,92.6
1954,91.9
1955,95
1956,99.8
1957,109.8
1958,119
1959,124.4
1960,131.3
1961,141.1
1962,152.4
1963,160.5
1964,169.1
1965,181.6
1966,204.5
1967,232.6
1968,261.7
1969,284.7
1970,319.2
1971,354.5
1972,388.5
1973,421.5
1974,473.9
1975,549.9
1976,591
1977,640.3
1978,703.3
1979,777.9
1980,894.6
1981,1017.4
1982,1131
1983,1227.7
1984,1311.7
1985,1418.7
1986,1512.8
1987,1586.7
1988,1678.3
1989,1810.7
1990,1952.9
1991,2072.2
1992,2254.2
1993,2339.3
1994,2417.2
1995,2536.5
1996,2621.8
1997,2699.9
1998,2767.4
1999,2879.5
2000,3019.9
2001,3229.2
2002,3419.8
2003,3624
2004,3817.4
2005,4075.3
2006,4320.1
2007,4599.6
2008,4972
2009,5284
2010,5560
2011,5639.5
2012,5667.1
2013,5729.5
2014,5885.7
2015,6059.5
2016,6238.7
2017,6418.5
2018,6749.9
2019,7134.3
2020,8920.8
2021,9352.9
2022,8691.7
