Year,  Current transfer receipts of individuals from governments (thousands of dollars)
1958,22112414
1959,22771529
1960,24208000
1961,27836000
1962,28547000
1963,30011000
1964,30899000
1965,33384000
1966,36790000
1967,44774000
1968,52224000
1969,57683000
1970,70200000
1971,83771000
1972,93129000
1973,107057000
1974,126659000
1975,160829000
1976,174478000
1977,186336000
1978,198899000
1979,222794000
1980,266290000
1981,302752000
1982,338895000
1983,365934000
1984,375911000
1985,398071000
1986,422614000
1987,441602000
1988,470347000
1989,514069000
1990,568060000
1991,642577000
1992,723129000
1993,769383000
1994,805802000
1995,854510000
1996,895821000
1997,925025000
1998,947034000
1999,980524000
2000,1032404000
2001,1131508000
2002,1235362000
2003,1304243000
2004,1387144000
2005,1473518000
2006,1575359000
2007,1679768000
2008,1900544000
2009,2087422000
2010,2260351000
2011,2288747000
2012,2300206000
2013,2363161000
2014,2475560000
2015,2612314000
2016,2694122000
2017,2784254000
2018,2901942000
2019,3062698000
2020,4062567000
2021,4483663000
2022,3846653000
